timestamp,temperature,solar_irradiance,wind_speed,humidity,energy_output
2024-01-01 00:00:00,25.5,0.0,2.1,65.0,0.0
2024-01-01 01:00:00,24.8,0.0,2.3,67.0,0.0
2024-01-01 02:00:00,24.2,0.0,2.0,68.0,0.0
2024-01-01 03:00:00,23.9,0.0,1.8,69.0,0.0
2024-01-01 04:00:00,23.5,0.0,1.5,70.0,0.0
2024-01-01 05:00:00,23.2,0.1,1.3,71.0,0.1
2024-01-01 06:00:00,23.0,0.5,1.2,72.0,0.5
2024-01-01 07:00:00,23.5,1.2,1.5,70.0,1.2
2024-01-01 08:00:00,24.0,2.5,2.0,68.0,2.5
2024-01-01 09:00:00,25.0,4.0,2.5,65.0,4.0
2024-01-01 10:00:00,26.0,5.5,3.0,62.0,5.5
2024-01-01 11:00:00,27.0,6.8,3.5,60.0,6.8
2024-01-01 12:00:00,28.0,7.5,4.0,58.0,7.5
2024-01-01 13:00:00,28.5,7.2,4.2,57.0,7.2
2024-01-01 14:00:00,28.0,6.5,4.0,58.0,6.5
2024-01-01 15:00:00,27.5,5.0,3.8,60.0,5.0
2024-01-01 16:00:00,27.0,3.5,3.5,62.0,3.5
2024-01-01 17:00:00,26.5,2.0,3.2,64.0,2.0
2024-01-01 18:00:00,26.0,0.8,3.0,66.0,0.8
2024-01-01 19:00:00,25.5,0.2,2.8,67.0,0.2
2024-01-01 20:00:00,25.0,0.0,2.5,68.0,0.0
2024-01-01 21:00:00,24.5,0.0,2.3,69.0,0.0
2024-01-01 22:00:00,24.0,0.0,2.2,70.0,0.0
2024-01-01 23:00:00,23.8,0.0,2.1,71.0,0.0 
